FaceID,Batch,Shotcrete_Layer,Spray_Time,Air_Temp,Shotcrete_Temp,Shotcrete_Blend,15M_MPa,30M_MPa,60M_MPa,90M_MPa,120M_MPa,150M_Mpa,180M_Mpa,240M_Mpa,270M_Mpa,300M_Mpa
RUP_1075_662_DEC_68,2 & 3,2,03:50:00,1.0,,,,,0.99,,,,,,,
RUP_1075_662_DEC_69,2 & 3,2,11:15:00,2.0,,,,,,0.92,1.01,,,,,
RUP_1000_818_DEC_45,2,2,14:45:00,6.0,,,,,,,1.01,,,,,
RUP_1075_630_ACC_06,2,2,14:30:00,7.0,,,,,1.08,,,,,,,
RUP_1075_662_DEC_70,2,2,15:30:00,8.0,,,,,,,,,1.09,,,
RUP_1000_818_DEC_46,2 & 3,2,01:30:00,-3.0,,,,,0.93,1.03,,,,,,
RUP_1075_662_DEC_71,2 &  3,2,01:30:00,5.0,,,,0.93,1.06,,,,,,,
RUP_1000_818_DEC_47,2 & 3,3,19:00:00,4.0,,,,,1,,,,,,,
RUP_1075_630_ACC_07,2&3,2,07:00:00,8.0,,,,0.64,,1.08,,,,,,
RUP_1075_662_DEC_72,2&3,2,15:20:00,10.0,,,,,,,1.04,,,,,
RUP_1000_818_DEC_48,2&3,2,08:30:00,8.0,,,,0.68,0.85,1,,,,,,
RUP_1075_662_DEC_73,2&3&4,2,09:00:00,0.0,,,,0.79,1.01,,,,,,,
RUP_1075_662_DEC_74,2&3&4,2,18:00:00,0.0,,,,0.86,1.07,,,,,,,
RUP_1000_818_DEC_49,3&4,2,20:00:00,-2.0,,,,,0.55,,0.82,,1.02,,,
RUP_1075_630_ACC_08,3&4,2,23:35:00,-3.0,,,,,,0.52,0.74,,,1.03,,
RUP_1075_662_DEC_75,3 & 4,2,02:20:00,0.0,,,,,0.77,,,0.94,1.02,,,
RUP_1000_818_DEC_49,2&3,2,14:10:00,0.0,,,,0.88,1.02,,,,,,,
RUP_1000_818_DEC_51,2&3&4,2,22:30:00,-3.0,,,,0.99,,,,,,,,
RUP_1075_630_ACC_09,4,2,05:00:00,-3.0,,,,,,0.73,0.75,,,,,
RUP_1050_539_RMP_02,2&3,2,18:20:00,-1.0,,,,1.03,,,,,,,,
RUP_1000_818_DEC_52,2 & 3,2,06:40:00,-3.0,,,,0.84,,,0.97,1.04,,,,
RUP_1050_539_RMP_03,Shotcrete from Trgošped,2,22:55:00,-1.0,,,,1.04,,,,,,,,
RUP_1050_539_RMP_04,1 & 2,1,15:50:00,1.0,,,,0.66,,,0.89,1.03,,,,
RUP_1000_818_DEC_53,3&4&5&6,2,20:00:00,4.0,,,,,0.95,1.1,,,,,,
RUP_1050_539_RMP_05,1 & 2,1,23:50:00,2.0,,,,,0.52,,0.68,,0.8,0.87,,
RUP_1075_630_ACC_09,5,2,04:40:00,2.0,,,,,0.83,1.05,,,,,,
RUP_1050_539_RMP_05,3 & 4,1,08:20:00,4.0,,,,0.66,,1.01,,,,,,
